name,mass,distance
EPIC 212297394 c,5.77000,418.3950000
EPIC 212424622 b,5.35000,611.8040000
EPIC 212499991 b,3.19000,283.2900000
EPIC 212587672 b,2.13000,320.0700000
EPIC 212587672 c,5.99000,320.0700000
EPIC 212624936 b,1.87000,561.9290000
EPIC 212624936 c,5.90000,561.9290000
EPIC 212737443 b,7.20000,336.2500000
EPIC 212737443 c,7.70000,336.2500000
EPIC 220492298 b,0.93700,624.5120000
EPIC 220554210 c,3.19000,496.2890000
EPIC 220674823 b,7.72000,244.5900000
EPIC 220674823 c,5.80000,244.5900000
EPIC 228836835 b,1.37000,150.1240000
EPIC 246851721 b,953.49000,372.6320000
EPIC 248847494 b,4131.79000,551.8860000
EPIC 249893012 b,8.75000,321.2960000
EPIC 249893012 c,14.67000,321.2960000
EPIC 249893012 d,10.18000,321.2960000
FU Tau b,5085.28000,133.4950466
G 264-012 b,2.50000,16.0090000
G 264-012 c,3.75000,16.0090000
G 9-40 b,11.70000,27.9276000
GJ 1002 b,1.08000,4.8486700
GJ 1002 c,1.36000,4.8486700
GJ 1061 b,1.37000,3.6727800
GJ 1061 c,1.74000,3.6727800
GJ 1061 d,1.64000,3.6727800
GJ 1132 b,1.66000,12.6130000
GJ 1132 c,2.64000,12.6130000
GJ 1148 b,96.70000,11.0143000
GJ 1148 c,68.06000,11.0143000
GJ 1151 c,10.62000,8.0362500
GJ 1214 b,8.17000,14.6427000
GJ 1252 b,1.32000,20.3730000
GJ 1265 b,7.40000,10.2525000
GJ 143 b,22.70000,16.3200000
GJ 15 A b,3.03000,3.5622800
GJ 15 A c,36.00000,3.5622800
GJ 160.2 b,10.20000,25.8557000
GJ 163 b,10.60000,15.1285000
GJ 163 c,6.80000,15.1285000
GJ 163 d,29.40000,15.1285000
GJ 179 b,260.61000,12.3560000
GJ 180 b,6.49000,11.9407000
GJ 180 c,6.40000,11.9407000
GJ 180 d,7.56000,11.9407000
GJ 2030 b,4.59248,37.0788000
GJ 2030 c,4067.84698,37.0788000
GJ 2056 b,16.20000,28.4434000
GJ 229 A c,8.57613,5.7562400
GJ 229 b,14.85045,5.7562400
GJ 251 b,4.00000,5.5805700
GJ 27.1 b,13.00000,23.6062000
GJ 273 b,2.89000,5.9215350
GJ 273 c,1.18000,5.9215350
GJ 3021 b,1071.04000,17.5559000
GJ 3082 b,8.20000,16.6186000
GJ 3090 b,3.34000,22.4751000
GJ 3138 b,1.78000,28.4712000
GJ 3138 c,4.18000,28.4712000
GJ 3138 d,10.50000,28.4712000
GJ 317 b,794.50000,15.1968000
GJ 317 c,522.50000,15.1968000
GJ 3222 b,11.73969,18.2381700
GJ 328 b,731.00000,20.5266000
GJ 3293 b,23.54000,20.1903000
GJ 3293 c,21.09000,20.1903000
GJ 3293 d,7.60000,20.1903000
GJ 3293 e,3.28000,20.1903000
GJ 3323 b,2.02000,5.3748400
GJ 3323 c,2.31000,5.3748400
GJ 3341 b,6.60000,23.6190000
GJ 338 B b,10.60000,6.3325600
GJ 3470 b,13.90000,29.4214000
GJ 3473 b,1.86000,27.3644000
GJ 3473 c,7.41000,27.3644000
GJ 3512 b,146.20107,9.4863700
GJ 3512 c,63.56568,9.4863700
GJ 357 b,1.84000,9.4418100
GJ 357 c,3.40000,9.4418100
GJ 357 d,6.10000,9.4418100
GJ 3634 b,8.40000,20.3779000
GJ 367 b,0.54600,9.4126300
GJ 3779 b,8.00000,13.7430000
GJ 3929 b,1.75000,15.8095000
GJ 3929 c,5.71000,15.8095000
GJ 393 b,1.71000,7.0314900
GJ 3942 b,7.14000,16.9287000
GJ 3998 b,2.47000,18.1459000
GJ 3998 c,6.26000,18.1459000
GJ 411 b,2.69000,5.6757730
GJ 414 A b,7.60000,11.8893000
GJ 414 A c,53.83000,11.8893000
GJ 422 b,11.07000,12.6631000
GJ 4276 b,16.57000,21.3362000
