name,mass,distance
Kepler-1232 b,4.38000,632.8650000
Kepler-1233 b,7.27000,1178.7000000
Kepler-1234 b,8.30000,916.7490000
Kepler-1235 b,0.41800,540.6040000
Kepler-1236 b,5.22000,999.6400000
Kepler-1237 b,8.55000,1064.3100000
Kepler-1238 b,4.38000,1632.1300000
Kepler-1239 b,8.75000,2140.6000000
Kepler-124 b,0.31500,420.0460000
Kepler-124 c,3.71000,420.0460000
Kepler-124 d,1.41000,420.0460000
Kepler-1240 b,1.60000,862.1860000
Kepler-1241 b,7.41000,968.7220000
Kepler-1242 b,5.73000,687.6150000
Kepler-1243 b,3.71000,758.1700000
Kepler-1244 b,2.39000,1075.8100000
Kepler-1245 b,2.67000,805.9360000
Kepler-1245 c,2.67000,805.9360000
Kepler-1246 b,2.42000,436.5050000
Kepler-1247 b,6.04000,1045.9200000
Kepler-1248 b,1.76000,593.0260000
Kepler-1249 b,6.26000,1904.5400000
Kepler-125 b,6.21000,183.3650000
Kepler-125 c,0.33000,183.3650000
Kepler-1250 b,4.35000,2126.8500000
Kepler-1251 b,4.04000,902.2040000
Kepler-1252 b,3.43000,648.9790000
Kepler-1253 b,2.33000,514.5240000
Kepler-1254 b,3.02000,622.8180000
Kepler-1254 c,2.24000,622.8180000
Kepler-1254 d,2.27000,622.8180000
Kepler-1255 b,5.99000,1617.0700000
Kepler-1256 b,2.83000,891.1920000
Kepler-1257 b,2.92000,1105.9500000
Kepler-1258 b,0.56600,717.5550000
Kepler-1259 b,2.63000,805.5620000
Kepler-126 b,2.92000,237.4010000
Kepler-126 c,3.12000,237.4010000
Kepler-126 d,6.80000,237.4010000
Kepler-1260 b,3.78000,1734.4300000
Kepler-1261 b,5.73000,744.2940000
Kepler-1262 b,3.97000,1054.8700000
Kepler-1263 b,1.55000,664.8300000
Kepler-1264 b,1.76000,801.9930000
Kepler-1265 b,2.39000,583.6410000
Kepler-1266 b,7.18000,849.3120000
Kepler-1266 c,3.46000,849.3120000
Kepler-1267 b,9.32000,1379.4300000
Kepler-1268 b,4.78000,1840.7700000
Kepler-1269 b,3.29000,1097.2300000
Kepler-127 b,2.54000,352.7940000
Kepler-127 c,7.56000,352.7940000
Kepler-127 d,7.46000,352.7940000
Kepler-1270 b,11.00000,1095.0500000
Kepler-1271 b,2.79000,831.9910000
Kepler-1272 b,6.21000,1206.3700000
Kepler-1273 b,6.76000,1114.2400000
Kepler-1274 b,2.60000,614.6480000
Kepler-1275 b,2.79000,1153.9800000
Kepler-1276 b,1.81000,538.4810000
Kepler-1277 b,3.19000,557.1930000
Kepler-1278 b,1.01000,889.4260000
Kepler-1279 b,3.71000,1494.2200000
Kepler-128 b,0.77000,396.3790000
Kepler-128 c,0.90000,396.3790000
Kepler-1280 b,4.16000,1486.7000000
Kepler-1281 b,3.33000,1090.0000000
Kepler-1282 b,3.02000,1103.2900000
Kepler-1283 b,4.31000,2921.9900000
Kepler-1284 b,1.92000,882.3240000
Kepler-1285 b,0.87100,422.2690000
Kepler-1286 b,5.27000,1354.4600000
Kepler-1287 b,2.99000,1003.2600000
Kepler-1288 b,1.46000,814.0780000
Kepler-1289 b,2.92000,1053.5700000
Kepler-129 b,20.00000,408.8450000
Kepler-129 c,43.00000,408.8450000
Kepler-129 d,2637.97578,408.8450000
Kepler-1290 b,2.60000,1593.7000000
Kepler-1291 b,3.39000,897.3520000
Kepler-1292 b,3.97000,1493.4300000
Kepler-1293 b,0.87100,1028.1600000
Kepler-1294 b,10.30000,1855.7000000
Kepler-1295 b,3.02000,1174.4600000
Kepler-1296 b,0.69300,1551.5400000
Kepler-1297 b,0.87100,1439.4700000
Kepler-1298 b,2.27000,544.1630000
Kepler-1299 b,9.17000,1404.9400000
Kepler-130 b,1.04000,316.6630000
Kepler-130 c,8.75000,316.6630000
Kepler-130 d,3.33000,316.6630000
Kepler-1300 b,2.45000,777.0250000
Kepler-1301 b,2.54000,854.2800000
Kepler-1302 b,2.63000,634.5800000
Kepler-1303 b,2.60000,897.7830000
Kepler-1304 b,5.86000,2176.0800000
Kepler-1305 b,4.19000,1575.2300000
Kepler-1306 b,4.31000,1107.5000000
Kepler-1307 b,6.66000,1014.6200000
Kepler-1308 b,0.09330,112.7050000
Kepler-1309 b,6.21000,845.0000000
Kepler-131 b,16.13000,228.6780000
Kepler-131 c,8.25000,228.6780000
Kepler-1310 b,2.67000,569.1850000
Kepler-1311 b,2.07000,866.3310000
Kepler-1311 c,1.98000,866.3310000
Kepler-1311 d,67.50000,866.3310000
Kepler-1312 b,5.06000,299.1040000
Kepler-1312 c,1.07000,299.1040000
Kepler-1313 b,3.75000,174.2340000
Kepler-1314 b,22.90000,141.9868506
Kepler-1315 b,2.48000,480.8690000
Kepler-1315 c,4.06000,480.8690000
Kepler-1316 b,12.30000,800.8710000
Kepler-1317 b,3.05000,728.3030000
Kepler-1318 b,9.85000,475.2480000
Kepler-1319 b,2.36000,103.9170000
Kepler-132 b,1.92000,349.5490000
Kepler-132 c,2.18000,349.5490000
Kepler-132 d,3.02000,349.5490000
Kepler-132 e,1.76000,349.5490000
Kepler-1320 b,3.53000,647.4240000
Kepler-1321 b,21.50000,769.1460000
Kepler-1321 c,6.35000,769.1460000
Kepler-1321 d,7.41000,769.1460000
Kepler-1322 b,3.22000,1350.3200000
Kepler-1322 c,5.29000,1350.3200000
Kepler-1323 b,2.92000,465.4170000
Kepler-1324 b,2.89000,481.6670000
Kepler-1325 b,8.55000,973.3680000
Kepler-1326 b,16.30000,698.3260000
Kepler-1327 b,3.89000,678.0690000
Kepler-1328 b,0.90400,813.5430000
Kepler-1329 b,5.35000,588.0370000
Kepler-133 b,3.75000,653.6000000
Kepler-133 c,8.45000,653.6000000
Kepler-1330 b,3.36000,1720.4800000
Kepler-1331 b,1.16000,319.1970000
Kepler-1332 b,2.45000,528.6850000
Kepler-1333 b,8.30000,932.4460000
Kepler-1334 b,5.86000,1223.0400000
Kepler-1335 b,2.70000,621.8530000
Kepler-1336 b,4.58000,1126.6400000
Kepler-1336 c,3.57000,1126.6400000
Kepler-1337 b,6.39000,601.6290000
Kepler-1338 b,0.72100,753.2600000
Kepler-1339 b,0.28500,371.0490000
Kepler-134 b,4.66000,334.7970000
Kepler-134 c,2.13000,334.7970000
Kepler-1340 b,3.02000,981.7790000
Kepler-1341 b,9.22000,476.9570000
Kepler-1342 b,3.39000,890.7240000
Kepler-1343 b,4.38000,1756.7100000
Kepler-1344 b,4.04000,853.9590000
Kepler-1345 b,6.17000,1355.0200000
Kepler-1346 b,3.12000,843.7010000
Kepler-1347 b,1.08000,321.0000000
Kepler-1348 b,4.42000,1213.8200000
Kepler-1349 b,0.27100,276.3230000
Kepler-135 b,3.93000,621.8550000
Kepler-135 c,1.65000,621.8550000
Kepler-1350 b,6.90000,340.6910000
Kepler-1350 c,3.64000,340.6910000
Kepler-1351 b,0.20800,202.7820000
Kepler-1352 b,0.64000,670.8290000
Kepler-1353 b,3.89000,593.3840000
Kepler-1354 b,9.11000,1119.4500000
Kepler-1355 b,2.73000,911.2690000
Kepler-1356 b,2.96000,845.2280000
Kepler-1357 b,2.18000,1015.6900000
Kepler-1358 b,1.46000,546.9980000
Kepler-1359 b,8.40000,614.8590000
Kepler-136 b,19.80000,420.8180000
Kepler-136 c,4.62000,420.8180000
Kepler-1360 b,11.50000,1516.2700000
Kepler-1361 b,0.56600,389.1430000
Kepler-1362 b,7.27000,731.2980000
Kepler-1363 b,2.10000,541.7140000
Kepler-1364 b,5.27000,1056.9000000
Kepler-1365 b,0.72100,840.1280000
Kepler-1365 c,0.43700,840.1280000
Kepler-1366 b,2.63000,465.8260000
Kepler-1367 b,0.72100,401.4840000
Kepler-1368 b,3.36000,1635.8200000
Kepler-1369 b,7.70000,1236.5600000
Kepler-137 b,2.76000,302.9790000
Kepler-137 c,4.19000,302.9790000
Kepler-1370 b,4.04000,1004.1000000
Kepler-1370 c,2.15000,1004.1000000
Kepler-1371 b,0.31500,515.3340000
Kepler-1371 c,0.19600,515.3340000
Kepler-1372 b,2.15000,1303.2200000
Kepler-1373 b,1.65000,1699.4600000
Kepler-1374 b,5.86000,1078.4600000
Kepler-1375 b,3.68000,1430.8400000
Kepler-1376 b,1.16000,868.0560000
Kepler-1377 b,2.10000,1146.1000000
Kepler-1378 b,5.48000,506.4340000
Kepler-1379 b,2.24000,971.3250000
Kepler-138 b,0.07000,66.8624000
Kepler-138 c,2.30000,66.8624000
Kepler-138 d,2.10000,66.8624000
Kepler-138 e,0.43000,66.8624000
Kepler-1380 b,2.63000,2462.9400000
Kepler-1381 b,5.69000,1197.0400000
Kepler-1382 b,4.19000,738.2610000
Kepler-1383 b,2.57000,1027.2100000
Kepler-1384 b,4.42000,618.0000000
Kepler-1385 b,0.54300,688.7950000
Kepler-1386 b,2.07000,835.8820000
Kepler-1387 b,0.74900,455.3580000
Kepler-1388 b,7.22000,453.7950000
Kepler-1388 c,5.73000,453.7950000
Kepler-1388 d,8.55000,453.7950000
Kepler-1388 e,6.62000,453.7950000
Kepler-1389 b,3.78000,497.0930000
Kepler-139 b,8.96000,391.0380000
Kepler-139 c,11.40000,391.0380000
Kepler-1390 b,1.76000,723.4310000
Kepler-1391 b,3.46000,1038.3500000
Kepler-1392 b,4.50000,1117.0000000
Kepler-1393 b,0.43700,544.4560000
Kepler-1394 b,2.51000,640.4090000
Kepler-1395 b,0.43700,492.8940000
Kepler-1396 b,4.94000,1066.4600000
Kepler-1397 b,3.61000,1198.2500000
Kepler-1398 b,0.66600,852.2040000
Kepler-1398 c,1.08000,852.2040000
Kepler-1399 b,2.10000,1385.7000000
Kepler-14 b,2669.66000,798.0000000
Kepler-140 b,3.22000,583.8590000
Kepler-140 c,3.89000,583.8590000
Kepler-1400 b,3.26000,752.2370000
Kepler-1401 b,3.46000,1425.4300000
Kepler-1402 b,0.36300,1493.6400000
Kepler-1403 b,5.22000,2163.9000000
Kepler-1404 b,4.70000,962.1830000
Kepler-1405 b,14.90000,1530.3000000
Kepler-1406 b,1.37000,572.4030000
Kepler-1407 b,5.69000,1396.4100000
Kepler-1408 b,0.64000,535.0480000
Kepler-1409 b,1.12000,694.8900000
Kepler-141 b,0.25700,301.1830000
Kepler-141 c,2.57000,301.1830000
Kepler-1410 b,3.82000,367.0000000
Kepler-1411 b,8.35000,1660.4800000
Kepler-1412 b,0.49800,755.6780000
Kepler-1413 b,3.97000,1167.4900000
Kepler-1414 b,2.04000,570.8350000
Kepler-1415 b,2.21000,1043.5600000
Kepler-1416 b,0.61500,949.5900000
Kepler-1417 b,0.97200,991.8450000
Kepler-1418 b,3.39000,499.0000000
Kepler-1419 b,8.55000,1498.5800000
Kepler-142 b,4.62000,548.6860000
Kepler-142 c,8.55000,548.6860000
Kepler-142 d,5.31000,548.6860000
Kepler-1420 b,2.18000,1054.3700000
Kepler-1421 b,0.74900,783.4010000
Kepler-1422 b,4.74000,2465.8400000
Kepler-1423 b,1.20000,449.0000000
Kepler-1424 b,1.65000,661.4210000
Kepler-1425 b,0.77900,863.8730000
Kepler-1426 b,3.05000,1697.8100000
Kepler-1427 b,1.37000,1220.0000000
Kepler-1428 b,3.33000,1530.3200000
Kepler-1429 b,2.21000,1214.0900000
Kepler-143 b,6.39000,809.4670000
Kepler-143 c,11.30000,809.4670000
Kepler-1430 b,1.76000,875.5230000
Kepler-1431 b,2.76000,1623.2400000
Kepler-1432 b,5.56000,2171.8700000
Kepler-1433 b,3.05000,1328.0000000
Kepler-1434 b,1.41000,775.5290000
Kepler-1435 b,0.56600,704.2110000
Kepler-1436 b,2.27000,2530.6200000
Kepler-1437 b,2.45000,2101.6900000
Kepler-1438 b,0.77900,1154.1300000
Kepler-1439 b,2.73000,225.3930000
Kepler-144 b,2.33000,384.9170000
Kepler-144 c,2.39000,384.9170000
Kepler-1440 b,2.13000,1115.3500000
Kepler-1441 b,2.27000,1110.4800000
Kepler-1442 b,14.70000,608.6800000
Kepler-1443 b,0.87100,593.6460000
Kepler-1444 b,5.39000,319.6750000
Kepler-1445 b,0.84000,506.3570000
Kepler-1446 b,0.47700,152.0750000
Kepler-1447 b,8.75000,890.2960000
Kepler-1448 b,3.22000,768.9030000
Kepler-1449 b,3.46000,2006.4800000
Kepler-145 b,37.10000,566.8500000
Kepler-145 c,79.40000,566.8500000
Kepler-1450 b,3.57000,505.8290000
Kepler-1451 b,11.20000,1058.7200000
Kepler-1452 b,7.75000,996.3200000
Kepler-1453 b,7.61000,1196.0400000
Kepler-1454 b,4.19000,780.5660000
Kepler-1455 b,5.31000,357.6210000
Kepler-1456 b,1.55000,370.3120000
Kepler-1457 b,4.62000,889.8850000
Kepler-1458 b,8.05000,544.4500000
Kepler-1459 b,2.42000,455.4790000
Kepler-146 b,13.30000,716.7970000
Kepler-146 c,9.96000,716.7970000
Kepler-1460 b,4.50000,553.2180000
Kepler-1461 b,4.78000,679.1060000
Kepler-1462 b,14.00000,1017.8200000
Kepler-1463 b,4.12000,1687.4700000
Kepler-1464 b,3.39000,1151.7300000
Kepler-1464 c,0.97200,1151.7300000
Kepler-1465 b,3.78000,359.4970000
Kepler-1466 b,3.02000,631.9490000
Kepler-1467 b,10.90000,852.8880000
Kepler-1468 b,3.64000,1899.2400000
Kepler-1468 c,1.60000,1899.2400000
Kepler-1468 d,11.10000,1899.2400000
Kepler-1469 b,8.25000,1159.3000000
Kepler-147 b,2.96000,1042.0200000
Kepler-147 c,6.48000,1042.0200000
Kepler-1470 b,1.24000,590.6010000
Kepler-1471 b,2.57000,978.6780000
Kepler-1472 b,4.27000,1479.1400000
Kepler-1473 b,1.81000,652.2530000
Kepler-1474 b,5.31000,1180.9000000
Kepler-1475 b,8.85000,1568.3800000
Kepler-1476 b,3.43000,1002.7400000
Kepler-1477 b,1.76000,680.8280000
Kepler-1478 b,3.64000,1845.5800000
Kepler-1479 b,4.01000,728.6680000
Kepler-148 b,3.89000,791.1630000
Kepler-148 c,12.60000,791.1630000
Kepler-148 d,56.30000,791.1630000
Kepler-1480 b,3.43000,500.8920000
Kepler-1481 b,2.04000,459.0760000
Kepler-1482 b,1.01000,567.5560000
Kepler-1483 b,2.92000,1273.7800000
Kepler-1484 b,5.10000,2879.8300000
Kepler-1485 b,2.76000,615.6600000
Kepler-1486 b,5.99000,1769.1400000
Kepler-1487 b,5.18000,1014.6200000
Kepler-1488 b,4.12000,905.8250000
Kepler-1488 c,3.37000,905.8250000
Kepler-1489 b,3.78000,1283.0500000
Kepler-149 b,16.50000,571.0340000
Kepler-149 c,3.22000,571.0340000
Kepler-149 d,14.90000,571.0340000
Kepler-1490 b,9.48000,862.9200000
Kepler-1491 b,2.89000,2065.5900000
Kepler-1492 b,2.83000,331.5530000
Kepler-1493 b,2.57000,555.0510000
Kepler-1494 b,9.64000,1285.4800000
Kepler-1495 b,8.96000,1355.5400000
Kepler-1496 b,5.56000,1307.6600000
Kepler-1497 b,3.39000,1122.0000000
Kepler-1498 b,2.33000,740.0000000
Kepler-1499 b,1.81000,309.8690000
Kepler-15 b,209.76000,739.4120000
Kepler-150 b,2.10000,891.0920000
Kepler-150 c,13.20000,891.0920000
Kepler-150 d,8.20000,891.0920000
Kepler-150 e,9.91000,891.0920000
Kepler-150 f,12.90000,891.0920000
Kepler-1500 b,1.87000,1217.8200000
Kepler-1501 b,3.05000,749.0600000
Kepler-1502 b,10.20000,1514.0200000
Kepler-1503 b,5.77000,1225.5700000
Kepler-1504 b,5.18000,2435.9400000
Kepler-1505 b,0.74900,495.1480000
Kepler-1506 b,2.30000,2366.0200000
Kepler-1507 b,0.52000,320.4780000
Kepler-1508 b,2.33000,1260.2800000
Kepler-1509 b,4.08000,2002.9600000
Kepler-151 b,9.59000,649.9190000
Kepler-151 c,5.02000,649.9190000
Kepler-1510 b,11.20000,1696.2500000
Kepler-1511 b,3.46000,1475.6000000
Kepler-1512 b,1.76000,162.0000000
Kepler-1513 b,53.90000,349.2470000
Kepler-1514 b,1678.14240,397.2920000
Kepler-1514 c,1.74000,397.2920000
Kepler-1515 b,66.20000,539.3210000
Kepler-1516 b,3.71000,1358.9500000
Kepler-1517 b,68.70000,847.2990000
Kepler-1518 b,9.53000,903.5100000
Kepler-1519 b,39.60000,1441.6300000
Kepler-152 b,8.20000,441.0900000
Kepler-152 c,6.30000,441.0900000
Kepler-1520 b,28.10000,607.9170000
Kepler-1521 b,6.80000,206.9830000
Kepler-1522 b,3.64000,814.1250000
Kepler-1523 b,3.12000,865.5960000
Kepler-1524 b,12.30000,381.7730000
Kepler-1525 b,0.69300,382.9890000
Kepler-1526 b,6.48000,555.5740000
Kepler-1527 b,20.40000,1842.1300000
Kepler-1528 b,2.73000,817.5340000
Kepler-1529 b,5.06000,661.0140000
Kepler-153 b,8.85000,459.3680000
Kepler-153 c,6.94000,459.3680000
Kepler-1530 b,3.33000,489.8760000
Kepler-1530 c,3.36000,489.8760000
Kepler-1530 d,10.80000,489.8760000
Kepler-1531 b,1.41000,666.3340000
Kepler-1532 b,2.39000,798.2460000
Kepler-1533 b,11.80000,966.8010000
Kepler-1534 b,4.23000,1107.0000000
Kepler-1535 b,7.04000,897.7330000
Kepler-1536 b,10.00000,387.2480000
Kepler-1537 b,1.76000,517.2920000
Kepler-1538 b,8.35000,1125.3000000
Kepler-1539 b,7.75000,748.3260000
Kepler-154 b,5.73000,915.2120000
Kepler-154 c,9.01000,915.2120000
Kepler-154 d,14.10000,915.2120000
Kepler-154 e,2.86000,915.2120000
Kepler-154 f,2.86000,915.2120000
Kepler-1540 b,6.76000,244.9600000
Kepler-1541 b,1.65000,416.6920000
Kepler-1542 b,0.36300,399.1140000
Kepler-1542 c,0.20800,399.1140000
Kepler-1542 d,0.59000,399.1140000
Kepler-1542 e,0.36300,399.1140000
Kepler-1543 b,7.80000,921.7840000
Kepler-1544 b,3.82000,335.0900000
Kepler-1545 b,7.75000,729.9640000
Kepler-1546 b,9.96000,931.9560000
Kepler-1547 b,0.66600,674.6950000
Kepler-1548 b,7.46000,872.2790000
Kepler-1549 b,7.13000,803.0520000
Kepler-155 b,5.02000,293.4990000
Kepler-155 c,5.65000,293.4990000
Kepler-1550 b,9.38000,1179.0100000
Kepler-1551 b,7.56000,1463.7200000
Kepler-1552 b,6.66000,769.0960000
Kepler-1553 b,1.60000,692.5940000
Kepler-1554 b,8.75000,946.8470000
Kepler-1555 b,3.22000,2013.2700000
Kepler-1556 b,4.50000,944.5400000
Kepler-1557 b,2.96000,1380.1600000
Kepler-1558 b,0.24400,325.7370000
Kepler-1559 b,0.29900,614.8270000
Kepler-156 b,5.90000,443.4830000
Kepler-156 c,7.04000,443.4830000
Kepler-1560 b,0.64000,502.4970000
Kepler-1561 b,1.32000,839.0760000
Kepler-1562 b,12.30000,2060.7200000
Kepler-1563 b,0.34700,616.6970000
Kepler-1564 b,2.76000,908.8050000
Kepler-1565 b,1.81000,629.9300000
Kepler-1566 b,0.41800,466.5860000
Kepler-1567 b,7.90000,1206.1100000
Kepler-1568 b,2.24000,916.3130000
Kepler-1569 b,3.46000,945.4540000
Kepler-157 b,2.30000,773.7130000
Kepler-157 c,5.65000,773.7130000
Kepler-157 d,2.73000,773.7130000
Kepler-1570 b,1.24000,918.9950000
Kepler-1571 b,2.92000,675.3030000
Kepler-1572 b,0.77900,946.6020000
Kepler-1573 b,1.87000,1455.3600000
Kepler-1574 b,2.21000,1384.1600000
Kepler-1575 b,2.27000,1246.9200000
Kepler-1576 b,1.12000,460.9100000
Kepler-1577 b,1.51000,510.0290000
Kepler-1578 b,1.12000,1064.0500000
Kepler-1579 b,0.52000,466.0000000
Kepler-158 b,5.14000,315.1770000
Kepler-158 c,4.27000,315.1770000
Kepler-1580 b,5.10000,1002.0200000
Kepler-1581 b,0.43700,493.1750000
Kepler-1582 b,2.83000,78.8906000
Kepler-1583 b,0.15600,403.9330000
Kepler-1584 b,3.22000,1416.3100000
Kepler-1585 b,3.86000,944.4650000
Kepler-1586 b,2.92000,552.5500000
Kepler-1587 b,2.33000,1026.4800000
Kepler-1588 b,0.36300,924.1410000
Kepler-1589 b,1.32000,1513.1400000
Kepler-159 b,6.26000,373.7440000
Kepler-159 c,11.50000,373.7440000
Kepler-1590 b,1.55000,771.1520000
Kepler-1591 b,2.15000,1419.5800000
Kepler-1592 b,2.99000,1639.4700000
Kepler-1593 b,10.20000,638.2490000
Kepler-1594 b,1.20000,976.8680000
Kepler-1595 b,2.04000,845.0220000
Kepler-1596 b,4.27000,2146.2300000
Kepler-1597 b,1.20000,1221.0500000
Kepler-1598 b,0.80900,619.8620000
Kepler-1599 b,3.26000,1328.2000000
Kepler-16 b,105.83300,75.0852000
Kepler-160 b,3.59000,937.0130000
Kepler-160 c,13.60000,937.0130000
Kepler-160 d,100.00000,937.0130000
Kepler-1600 b,9.96000,1030.8100000
Kepler-1600 c,4.43000,1030.8100000
Kepler-1601 b,0.47700,644.4560000
Kepler-1602 b,2.36000,629.8040000
Kepler-1603 b,2.21000,2712.5800000
Kepler-1604 b,2.57000,541.1890000
Kepler-1605 b,1.28000,546.2300000
Kepler-1606 b,4.94000,831.2870000
Kepler-1607 b,0.72100,1286.1000000
Kepler-1608 b,3.64000,832.0000000
Kepler-1609 b,5.56000,1826.0400000
Kepler-161 b,12.10000,434.6320000
Kepler-161 c,11.80000,434.6320000
Kepler-1610 b,3.22000,864.3310000
Kepler-1611 b,0.45700,908.4440000
Kepler-1612 b,1.08000,764.7260000
Kepler-1613 b,4.98000,1508.3300000
Kepler-1614 b,2.83000,1191.1900000
Kepler-1615 b,4.90000,1393.8300000
Kepler-1616 b,1.04000,1137.8100000
Kepler-1617 b,1.87000,898.3100000
Kepler-1618 b,2.13000,1229.2500000
Kepler-1619 b,0.36300,734.8500000
Kepler-162 b,2.13000,855.6410000
Kepler-162 c,9.43000,855.6410000
Kepler-1620 b,3.22000,895.0690000
Kepler-1621 b,5.31000,1631.6600000
Kepler-1622 b,2.76000,796.4770000
Kepler-1623 b,2.27000,837.4810000
Kepler-1624 b,27.60000,258.9790000
Kepler-1625 b,30.60000,2310.1100000
Kepler-1626 b,4.74000,1368.8300000
Kepler-1627 b,13.20000,317.4370000
Kepler-1628 b,33.80000,352.0000000
Kepler-1629 b,0.38100,336.0900000
Kepler-163 b,1.16000,689.8140000
Kepler-163 c,5.73000,689.8140000
Kepler-1630 b,5.43000,331.2130000
Kepler-1631 b,2.39000,1305.9900000
Kepler-1632 b,6.66000,716.7600000
Kepler-1633 b,3.12000,1114.9100000
Kepler-1634 b,10.30000,617.3390000
Kepler-1635 b,12.90000,1069.4500000
Kepler-1636 b,10.50000,1947.5400000
Kepler-1637 b,0.64000,567.1870000
Kepler-1638 b,4.16000,1525.5200000
Kepler-1639 b,7.18000,1031.3100000
Kepler-164 b,2.57000,890.7580000
Kepler-164 c,7.90000,890.7580000
Kepler-164 d,6.57000,890.7580000
Kepler-1640 b,20.70000,1859.7800000
Kepler-1641 b,9.85000,860.3700000
Kepler-1641 c,9.01000,860.3700000
Kepler-1642 b,10.30000,413.8730000
Kepler-1642 c,7.56000,413.8730000
Kepler-1643 b,5.99000,341.7740000
Kepler-1644 b,4.19000,629.2700000
Kepler-1645 b,3.82000,1202.4700000
Kepler-1646 b,2.04000,127.5910000
Kepler-1647 b,483.00000,1212.4500000
Kepler-1649 b,1.03000,92.1913000
Kepler-1649 c,1.20000,92.1913000
Kepler-165 b,5.99000,560.8850000
Kepler-165 c,5.60000,560.8850000
Kepler-1650 b,0.84000,134.3970000
Kepler-1651 b,4.04000,66.4074000
Kepler-1652 b,3.19000,252.0000000
Kepler-1653 b,5.35000,755.0000000
Kepler-1654 b,158.91500,568.1170000
Kepler-1655 b,5.00000,213.2600000
Kepler-1656 b,47.80000,185.8750000
Kepler-1656 c,126.40000,185.8750000
Kepler-1658 b,1868.84040,788.2380000
Kepler-166 b,5.77000,603.5300000
Kepler-166 c,6.26000,603.5300000
Kepler-166 d,3.64000,603.5300000
Kepler-1661 b,17.00000,410.6070000
Kepler-1663 b,10.90000,337.9260000
Kepler-1664 b,9.45000,626.6910000
Kepler-1665 b,8.44000,335.5150000
Kepler-1666 b,8.66000,1379.3700000
Kepler-1666 c,10.50000,1379.3700000
Kepler-1667 b,9.19000,626.8190000
Kepler-1668 b,17.40000,1335.6400000
Kepler-1669 b,8.15000,543.4440000
Kepler-1669 c,4.27000,543.4440000
Kepler-167 b,3.60000,341.9080000
Kepler-167 c,3.44000,341.9080000
Kepler-167 d,2.06000,341.9080000
Kepler-167 e,321.00669,341.9080000
Kepler-1670 b,11.20000,2065.9800000
Kepler-1671 b,2.32000,357.0590000
Kepler-1672 b,9.11000,391.1810000
Kepler-1673 b,8.93000,727.1870000
Kepler-1674 b,10.40000,1012.4800000
Kepler-1675 b,9.93000,651.1170000
Kepler-1676 b,11.30000,
Kepler-1677 b,7.76000,735.3690000
Kepler-1678 b,10.90000,847.3390000
Kepler-1679 b,4.93000,909.2800000
Kepler-168 b,2.73000,1343.6000000
Kepler-168 c,7.70000,1343.6000000
Kepler-1680 b,2.42000,310.3150000
Kepler-1681 b,7.05000,758.3000000
Kepler-1682 b,8.70000,1159.8500000
Kepler-1683 b,4.17000,733.1430000
Kepler-1684 b,8.60000,621.9960000
Kepler-1685 b,7.16000,1141.8900000
Kepler-1686 b,2.62000,729.8230000
Kepler-1687 b,3.38000,417.0140000
Kepler-1688 b,2.13000,567.4468709
Kepler-1689 b,0.79900,294.1220000
Kepler-169 b,1.51000,406.5290000
Kepler-169 c,1.92000,406.5290000
Kepler-169 d,2.10000,406.5290000
Kepler-169 e,5.48000,406.5290000
Kepler-169 f,7.18000,406.5290000
Kepler-1690 b,8.30000,703.7890000
Kepler-1691 b,4.02000,1267.6700000
Kepler-1692 b,1.42000,591.0190000
Kepler-1693 b,2.21000,760.0650000
Kepler-1693 c,0.89400,760.0650000
Kepler-1694 b,1.76000,513.3290000
Kepler-1695 b,1.46000,791.1750000
Kepler-1696 b,8.29000,1506.3600000
Kepler-1697 b,2.12000,247.7710000
Kepler-1698 b,1.25000,222.3450000
Kepler-1699 b,3.08000,818.7590000
Kepler-17 b,778.65000,720.7530000
Kepler-170 b,82.60000,738.6570000
Kepler-170 c,8.55000,738.6570000
Kepler-1700 b,8.76000,717.5970000
Kepler-1701 b,5.57000,584.1420000
Kepler-1702 b,3.20000,857.1400000
Kepler-1704 b,1322.16617,835.4550000
Kepler-1705 b,4.47000,1633.4900000
Kepler-1705 c,5.42000,1633.4900000
Kepler-1708 b,1462.01067,1666.6900000
Kepler-1709 b,9.93000,273.9460000
Kepler-171 b,6.08000,863.8550000
Kepler-171 c,7.08000,863.8550000
Kepler-171 d,4.23000,863.8550000
Kepler-1710 b,10.30000,305.1930000
Kepler-1711 b,4.36000,590.2680000
Kepler-1712 b,5.83000,156.2640000
Kepler-1713 b,3.59000,295.2930000
Kepler-1714 b,10.70000,409.4600000
Kepler-1715 b,16.00000,522.6050000
Kepler-1716 b,6.46000,195.4390000
Kepler-1717 b,9.21000,1008.7900000
Kepler-1718 b,7.12000,375.5220000
Kepler-1719 b,14.80000,905.4060000
Kepler-172 b,6.12000,828.5920000
Kepler-172 c,8.55000,828.5920000
Kepler-172 d,5.69000,828.5920000
Kepler-172 e,8.05000,828.5920000
Kepler-1720 b,10.40000,629.4450000
Kepler-1721 b,9.90000,641.3740000
Kepler-1722 b,8.58000,772.2830000
Kepler-1723 b,8.65000,811.2780000
Kepler-1724 b,8.43000,1060.7700000
Kepler-1725 b,8.31000,558.6520000
Kepler-1726 b,6.84000,390.5520000
Kepler-1727 b,10.20000,894.1870000
Kepler-1728 b,9.04000,651.7830000
Kepler-1729 b,14.40000,576.1810000
Kepler-173 b,2.21000,833.1650000
Kepler-173 c,6.48000,833.1650000
