name,mass,distance
11 Com b,6165.6,93.1846
11 UMi b,4684.8142,125.321
14 And b,1525.5,75.4392
14 Her b,2586.74645,17.9323
16 Cyg B b,565.7374,21.1397
17 Sco b,1373.01872,124.953
18 Del b,3273.5,76.222
24 Boo b,289.2253,95.9863
24 Sex b,632.46,72.0691
24 Sex c,273.32,72.0691
2M0437 b,1271.31363,128.484
